iter	Logloss	Accuracy
181	0.1018157954	0.9699408735
182	0.1017794067	0.9699790196
183	0.1015443676	0.9699027274
184	0.1013564681	0.970131604
185	0.1009571231	0.9701697501
186	0.100832309	0.9700553118
187	0.1006027189	0.9698645813
188	0.1004282545	0.9701697501
189	0.1001395257	0.9700934579
190	0.09992401032	0.9703223345
191	0.09957288954	0.970513065
192	0.09925493233	0.9708182338
193	0.0992544934	0.9708182338
194	0.09894673567	0.9711234026
195	0.09894199327	0.9710852565
196	0.09866033631	0.9709708182
197	0.09854247573	0.9710089643
198	0.09838993366	0.9711234026
199	0.09821872868	0.9714285714
200	0.09807881791	0.9713904253
201	0.09798426115	0.9714667175
202	0.09762919099	0.971657448
203	0.09757803003	0.9717337402
204	0.09749466608	0.9717337402
205	0.09739934982	0.9717337402
206	0.09723392689	0.9720007629
207	0.09684567982	0.9719626168
208	0.09675656224	0.9719626168
209	0.09665194207	0.9718481785
210	0.0965293039	0.972038909
211	0.09618989301	0.972038909
212	0.09584896509	0.9721152012
213	0.09561081232	0.9723059317
214	0.09553363272	0.9723059317
215	0.09523264106	0.9726111005
216	0.09499414666	0.9726492466
217	0.09481003348	0.9726111005
218	0.0945300101	0.9726873927
219	0.09442606112	0.9725729544
220	0.09427797267	0.9725348083
221	0.09413218076	0.9725348083
222	0.09395488347	0.9724585161
223	0.09372867082	0.9725729544
224	0.09357746099	0.9725729544
225	0.09328632858	0.9725729544
226	0.09321999483	0.9726492466
227	0.09315001777	0.9726873927
228	0.09304777804	0.9726492466
229	0.09290287534	0.9726873927
230	0.09265880092	0.9727255388
231	0.09232014409	0.9729925615
232	0.09210153807	0.9729925615
233	0.09173425897	0.9729925615
234	0.09157760221	0.9730307076
235	0.09143387985	0.9730307076
236	0.09119075	0.973183292
237	0.09094867858	0.9732595842
238	0.09094701234	0.9732595842
239	0.09080066744	0.9730307076
240	0.09057210989	0.9728399771
241	0.09036654994	0.9731451459
242	0.09027842951	0.9731451459
243	0.09015174239	0.973183292
244	0.09002171524	0.9732595842
245	0.08974732786	0.9732595842
246	0.08941887125	0.9733740225
247	0.08913674787	0.9734121686
248	0.08896107458	0.9733740225
249	0.08872908323	0.9732977303
250	0.08863036056	0.9733358764
251	0.08847262821	0.9734884608
252	0.0882903091	0.973564753
253	0.08798658619	0.973564753
254	0.08757002466	0.9736028991
255	0.08742008628	0.9737554835
256	0.08724941479	0.9738699218
257	0.08708042856	0.9740987984
258	0.08701849211	0.9740606523
259	0.0868777821	0.974327675
260	0.08663733005	0.9743658211
261	0.0862093223	0.9744802594
262	0.08616905992	0.9746328438
263	0.08602161997	0.9746709899
264	0.08591992028	0.9748617204
265	0.08571693049	0.9748235743
266	0.08555979682	0.9748235743
267	0.08529605263	0.9745946977
268	0.08511720815	0.974709136
269	0.08490612777	0.9746328438
270	0.08471251085	0.9747472821
271	0.08467762066	0.9746709899
272	0.08446390338	0.9747854282
273	0.08416405232	0.9750143048
274	0.08397148398	0.975090597
275	0.08386714048	0.9752431814
276	0.08367662667	0.9751287431
277	0.08357543724	0.9751287431
278	0.08340381227	0.9752813275
279	0.08313442512	0.975472058
280	0.08306341357	0.975472058
281	0.08280117916	0.9755102041
282	0.08253200092	0.9753576197
283	0.08235183641	0.9754339119
284	0.08221720593	0.975472058
285	0.08204608098	0.9757009346
286	0.08187495975	0.9758153729
287	0.08171485855	0.9757772268
288	0.08155226344	0.9759679573
289	0.08140945203	0.9758916651
290	0.08126791662	0.9759298112
291	0.08107703401	0.9759679573
292	0.08094246572	0.9760442495
293	0.08078716933	0.9759298112
294	0.08046480377	0.9761968339
295	0.08038094383	0.9761586878
296	0.08000982088	0.9763875644
297	0.07996528609	0.9763112722
298	0.07967680085	0.9765782949
299	0.07959820317	0.9765401488
300	0.07932078556	0.9766545871
301	0.0791329667	0.9766927332
302	0.07898037506	0.9765782949
303	0.07891572426	0.9765782949
304	0.07869698854	0.9765020027
305	0.07856280343	0.9766927332
306	0.07833847692	0.9768834637
307	0.07824840773	0.9768834637
308	0.07817857377	0.9767690254
309	0.07788584759	0.9766927332
310	0.07772077063	0.9767308793
311	0.0777207463	0.9767308793
312	0.07767273334	0.9767308793
313	0.07764844861	0.9767308793
314	0.07746057066	0.9768834637
315	0.07736016493	0.9769216098
316	0.07718976942	0.9769597559
317	0.07699931306	0.9770360481
318	0.07683606935	0.9772267786
319	0.07665617743	0.9773412169
320	0.07646300082	0.9773412169
321	0.0763689534	0.9774175091
322	0.07623027745	0.9774938013
323	0.07623024132	0.9774938013
324	0.07584821647	0.9776845318
325	0.07570552027	0.9776845318
326	0.07550655476	0.9777226779
327	0.07529325377	0.9776463857
328	0.0751931923	0.9776082396
329	0.07508838921	0.9776082396
330	0.07473584721	0.9773412169
331	0.07454902587	0.9776082396
332	0.07429549967	0.9778752623
333	0.0742728205	0.9778752623
334	0.07419001458	0.9779515545
335	0.07412469018	0.9778752623
336	0.07388016559	0.977760824
337	0.0737380382	0.9777226779
338	0.07364085005	0.9777226779
339	0.07350881599	0.9777989701
340	0.07337211189	0.9778371162
341	0.07333813127	0.9777989701
342	0.07324696108	0.9778371162
343	0.07291300368	0.9779515545
344	0.07283245571	0.9780278467
345	0.07256952279	0.978142285
346	0.07254235692	0.9781041389
347	0.07241075189	0.9782567233
348	0.07216859027	0.9783711615
349	0.07188057132	0.9783711615
350	0.07183249216	0.9783711615
351	0.07145446465	0.9784855998
352	0.0712088997	0.9784093076
353	0.07100965716	0.9784855998
354	0.07092082291	0.9786000381
355	0.07067218525	0.978561892
356	0.07047491433	0.9786000381
357	0.0703778037	0.9787526225
358	0.07025554365	0.9789052069
359	0.07011378604	0.9789052069
360	0.06995103541	0.9787907686
361	0.06968387445	0.9788289147
362	0.06963653232	0.9788670608
363	0.06942141512	0.9786000381
364	0.06934325972	0.9786381842
365	0.06933985292	0.9786000381
366	0.0692931929	0.9786000381
367	0.06921676004	0.9787907686
368	0.06897685358	0.9788289147
369	0.06895642583	0.9788289147
370	0.06877742231	0.9790577913
371	0.06856869172	0.9792103757
372	0.06856845275	0.9792103757
373	0.06835377698	0.9795155445
374	0.06806102003	0.9796299828
375	0.06797598352	0.9796681289
376	0.06788208034	0.979706275
377	0.06778173718	0.9796299828
378	0.06761923835	0.979706275
379	0.067543153	0.979706275
380	0.06719434242	0.9797444211
381	0.06694221395	0.9797444211
382	0.06669992795	0.9796681289
383	0.06662591173	0.979706275
384	0.06657385691	0.9797444211
385	0.06651947591	0.9797444211
386	0.06614801902	0.9798588594
387	0.06598189277	0.9798588594
388	0.06592324	0.9798970055
389	0.06575446686	0.980087736
390	0.0653826905	0.9801640282
391	0.06531673029	0.980087736
392	0.06521037213	0.9803929048
393	0.06479229932	0.9802784665
394	0.06479173727	0.9802403204
395	0.06466944566	0.980469197
396	0.06456094705	0.980469197
397	0.06453833031	0.9803929048
398	0.06432716362	0.9803166126
399	0.06432679203	0.9803547587
400	0.06429280935	0.9803547587
401	0.06414619539	0.9805836353
402	0.06408889063	0.9806980736
403	0.06394718018	0.9806599275
404	0.06385333376	0.9806599275
405	0.06372450981	0.9807743658
406	0.06327556407	0.980850658
407	0.06321872668	0.9809269502
408	0.06294883798	0.9809269502
409	0.0629027486	0.9808888041
410	0.0627706386	0.9808125119
411	0.06271603098	0.9806980736
412	0.06259329977	0.9808888041
413	0.06251544701	0.9810413885
414	0.06246373794	0.9811176807
415	0.0624115789	0.9811939729
416	0.06222567273	0.9811558268
417	0.06220562058	0.9811558268
418	0.06220558703	0.9811558268
419	0.06188363806	0.9812702651
420	0.06177674245	0.981232119
421	0.06165554686	0.9814609956
422	0.06142174648	0.9814991417
423	0.06141848372	0.9814991417
424	0.06122647159	0.9815754339
425	0.06115803263	0.9815754339
426	0.06080800536	0.9815754339
427	0.06066904621	0.9817661644
428	0.06052005422	0.9820331871
429	0.06042003052	0.9820713332
430	0.06031939813	0.9821476254
431	0.06011821655	0.9821857715
432	0.06003672189	0.9821476254
433	0.05997417076	0.9821476254
434	0.05979526228	0.9822239176
435	0.0597518433	0.9823002098
436	0.05955058609	0.9822239176
437	0.05950121743	0.982376502
438	0.05940072771	0.9824146481
439	0.05939962432	0.9824146481
440	0.05927652058	0.9825290864
441	0.05911379608	0.982757963
442	0.05898564903	0.9829868396
443	0.0588328217	0.9830631318
444	0.05875325954	0.9830631318
445	0.0586618566	0.9829868396
446	0.05857417141	0.9829105474
447	0.05849248137	0.9829486935
448	0.05844643316	0.9829105474
449	0.05830093031	0.9830249857
450	0.05822976265	0.9829105474
451	0.05809003815	0.9830249857
452	0.05788866734	0.982757963
453	0.05774922093	0.9826053786
454	0.05742832542	0.9826816708
455	0.05739775883	0.9826816708
456	0.0573976785	0.9826816708
457	0.05736688074	0.9826816708
458	0.05725226656	0.9826816708
459	0.05716534831	0.9827198169
460	0.05709586133	0.9829486935
461	0.05685532333	0.9831012779
462	0.05670450201	0.9830631318
463	0.05664881178	0.9830249857
464	0.05655610533	0.9831012779
465	0.05643905125	0.9830631318
466	0.05643888383	0.9830631318
467	0.05623743763	0.983139424
468	0.05623738472	0.983139424
469	0.05612565942	0.9832157162
470	0.05583860545	0.9832157162
471	0.0557951639	0.9833683006
472	0.05574828014	0.9833683006
473	0.05548066375	0.9834445928
474	0.05545718129	0.9834445928
475	0.05522037264	0.9834064467
476	0.05500281288	0.9832157162
477	0.05500242389	0.9832157162
478	0.05495937801	0.9833301545
479	0.05484900338	0.9833683006
480	0.05473947416	0.9832920084
481	0.0546576031	0.9832920084
482	0.05465700973	0.9832920084
483	0.05465685322	0.9832920084
484	0.05456880253	0.9837116155
485	0.05446058322	0.9836734694
486	0.05434982162	0.983902346
487	0.05415023575	0.983902346
488	0.05414778796	0.9839404921
489	0.05399399815	0.9839786382
490	0.05394502669	0.983902346
491	0.0537500144	0.9840167843
492	0.05371054093	0.9840549304
493	0.05369198192	0.9841312226
494	0.05346721891	0.9842075148
495	0.05345729399	0.984283807
496	0.05330218008	0.984283807
497	0.05323251878	0.9843982453
498	0.05307379751	0.9842456609
499	0.05307363092	0.9842456609
500	0.05301833197	0.9842075148
501	0.05278423084	0.9842075148
502	0.05251504153	0.984283807
503	0.05242316562	0.9842456609
504	0.05239348144	0.984283807
505	0.05211658297	0.9842075148
506	0.0520677284	0.984283807
507	0.05192413208	0.984283807
508	0.05176230762	0.9843600992
509	0.05168784065	0.9843982453
510	0.05156406211	0.984283807
511	0.05146995195	0.9843600992
512	0.0513899745	0.9842456609
513	0.05119408997	0.9843219531
514	0.05095083219	0.9843982453
