iter	Passed	Remaining
765	90461	27634
766	90558	27509
767	90650	27384
768	90790	27272
769	90928	27160
770	91106	27060
771	91241	26947
772	91362	26829
773	91447	26701
774	91532	26573
775	91653	26456
776	91749	26332
777	91853	26210
778	91972	26092
779	92182	26000
780	92339	25892
781	92526	25793
782	92697	25690
783	92826	25574
784	92955	25459
785	93058	25336
786	93165	25215
787	93240	25085
788	93380	24972
789	93441	24838
790	93519	24709
791	93654	24596
792	93735	24468
793	93776	24329
794	93847	24199
795	93980	24085
796	94080	23962
797	94124	23825
798	94223	23703
799	94305	23576
800	94428	23459
801	94521	23335
802	94560	23198
803	94684	23082
804	94737	22948
805	94788	22815
806	94876	22690
807	94925	22556
808	94977	22423
809	95050	22295
810	95183	22182
811	95287	22061
812	95402	21943
813	95504	21822
814	95625	21706
815	95722	21584
816	95866	21473
817	95978	21354
818	96071	21231
819	96185	21113
820	96341	21004
821	96393	20873
822	96474	20748
823	96587	20630
824	96723	20517
825	96772	20385
826	96854	20261
827	97092	20169
828	97227	20055
829	97319	19932
830	97445	19817
831	97534	19694
832	97668	19580
833	97780	19462
834	97911	19347
835	98040	19232
836	98175	19119
837	98231	18989
838	98300	18863
839	98404	18743
840	98493	18621
841	98622	18506
842	98705	18382
843	98786	18259
844	98878	18137
845	98982	18018
846	99089	17899
847	99178	17777
848	99286	17658
849	99386	17538
850	99483	17418
851	99535	17290
852	99585	17161
853	99638	17034
854	99705	16909
855	99784	16786
856	99900	16669
857	100003	16550
858	100140	16437
859	100221	16315
860	100326	16196
861	100442	16080
862	100543	15961
863	100659	15844
864	100784	15729
865	100858	15606
866	101002	15494
867	101150	15382
868	101254	15263
869	101435	15157
870	101577	15044
871	101667	14923
872	101801	14809
873	101905	14691
874	102072	14581
875	102159	14460
876	102317	14350
877	102421	14231
878	102462	14104
879	102519	13979
880	102562	13853
881	102603	13727
882	102680	13605
883	102768	13485
884	102869	13367
885	103002	13253
886	103086	13132
887	103140	13008
888	103247	12891
889	103317	12769
890	103400	12649
891	103517	12533
892	103692	12424
893	103733	12299
894	103864	12185
895	103925	12062
896	103982	11940
897	104046	11818
