iter	Passed	Remaining
273	31703	84002
274	31826	83907
275	32045	84060
276	32177	83986
277	32413	84182
278	32586	84210
279	32745	84202
280	32897	84175
281	33063	84183
282	33166	84030
283	33314	83989
284	33425	83857
285	33542	83738
286	33708	83743
287	33879	83757
288	34072	83824
289	34217	83774
290	34368	83735
291	34596	83884
292	34798	83966
293	34940	83905
294	35063	83796
295	35191	83699
296	35346	83665
297	35485	83594
298	35621	83514
299	35752	83423
300	35880	83322
301	36018	83247
302	36205	83285
303	36389	83313
304	36489	83147
305	36613	83037
306	36741	82937
307	36907	82921
308	37046	82846
309	37159	82709
310	37290	82614
311	37397	82466
312	37503	82315
313	37644	82241
314	37771	82138
315	37878	81989
316	38018	81913
317	38139	81794
318	38283	81726
319	38435	81676
320	38560	81565
321	38691	81468
322	38817	81361
323	38971	81311
324	39099	81206
325	39227	81103
326	39334	80953
327	39468	80861
328	39583	80732
329	39696	80595
330	39827	80497
331	39981	80444
332	40110	80341
333	40203	80166
334	40342	80082
335	40473	79983
336	40656	79985
337	40816	79942
338	40933	79814
339	41076	79737
340	41233	79684
341	41335	79528
342	41461	79417
343	41586	79304
344	41710	79190
345	41853	79110
346	41967	78976
347	42081	78842
348	42183	78686
349	42414	78769
350	42733	79015
351	43011	79179
352	43264	79297
353	43545	79464
354	43872	79712
355	44321	80177
356	44591	80315
357	44803	80345
358	45003	80353
359	45184	80327
360	45349	80273
361	45459	80118
362	45605	80029
363	45715	79876
364	45847	79762
365	46022	79722
366	46216	79713
367	46467	79802
368	46632	79743
369	46790	79670
370	47066	79797
371	47309	79866
372	47526	79889
373	47745	79915
374	47908	79846
375	48091	79812
376	48237	79714
377	48373	79599
378	48565	79575
379	48786	79598
380	48957	79539
381	49159	79530
382	49300	79421
383	49443	79315
384	49610	79247
385	49808	79229
386	49965	79144
387	50129	79070
388	50277	78970
389	50430	78879
390	50623	78848
391	50869	78899
392	51067	78875
393	51256	78835
394	51412	78745
395	51586	78681
396	51716	78552
397	51885	78480
398	52060	78417
399	52222	78333
